Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
"Cost Group 329 Gründung, sonstigesGründung : G_XPS_260mm -> Baustoff  XPS-Dämmstoff",0.7173501643,3.2616523281e-15,0.00015150363003,0.00046875351933,6.3028956642e-05,10.1606382046,9.5505013828,0.0,9.5505013828,0.6101368217,0.0,0.6101368217,5.0940375376e-08,9.3302186609
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 8,3.2285004877,7.1298613742e-11,0.0051515712893,0.0055655640111,0.00069506561089,56.3668582601,51.0993054547,0.1330449797,50.966260475,5.2675528053,0.0,5.2675528053,3.6933824294e-06,49.3962194012
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 8 -> Baustoff  Innenfarbe Dispersionsfarbe scheuerfest,0.1202513234,1.8046977696e-15,4.9824113103e-05,0.00042302035414,3.5458122477e-05,2.9907591093,2.6569088007,0.0,2.6569088007,0.3338503086,0.0,0.3338503086,5.2607335173e-07,2.5427980606
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 8 -> Baustoff  Gipsputz (Gips),0.0647024483,7.8175188706e-16,9.1990232707e-06,9.6723623379e-05,1.4934144441e-05,1.1383180432,0.9639392632,0.0,0.9639392632,0.1743787799,0.0,0.1743787799,9.8391041497e-09,0.9190921207
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 8 -> Baustoff  Mauerziegel,0.8449208027,9.7487883663e-12,9.7595207556e-05,0.001376007563,0.0001572059932,10.4569291806,8.7264529805,0.0,8.7264529805,1.7304762001,0.0,1.7304762001,6.2354897367e-08,8.2243707978
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 8 -> Baustoff  Kunstharzputz,0.2987147856,2.5395667188e-14,0.00039123544579,0.00089910996096,0.00012546685604,7.6688426093,6.8007282804,0.0,6.8007282804,0.8681143289,0.0,0.8681143289,8.21404529e-07,6.5378838644
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 8 -> Baustoff  Dämmplatte mit Neopor® Plus,1.3300408471,6.1482511545e-11,0.0039979198494,0.0012528856642,0.00014326872299,20.0734339422,19.4424245048,0.1330449797,19.3093795251,0.6310094374,0.0,0.6310094374,1.0241737104e-06,19.1400743358
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 8 -> Baustoff  Kunstharzestrich,0.1217981023,1.2382137721e-15,1.8944481479e-05,0.00016915190396,3.0531487671e-05,2.5353114615,2.3077592046,0.0,2.3077592046,0.2275522569,0.0,0.2275522569,1.7430043314e-08,2.2251744253
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 8 -> Baustoff  Kunstharzputz,0.4480721783,3.8093500782e-14,0.00058685316868,0.0013486649414,0.00018820028406,11.503263914,10.2010924206,0.0,10.2010924206,1.3021714934,0.0,1.3021714934,1.2321067935e-06,9.8068257966
Cost Group 331 Tragende AußenwändeAußenwände : Mauerziegel_270mm_E,0.8449208027,9.7487883663e-12,9.7595207556e-05,0.001376007563,0.0001572059932,10.4569291806,8.7264529805,0.0,8.7264529805,1.7304762001,0.0,1.7304762001,6.2354897367e-08,8.2243707978
Cost Group 331 Tragende AußenwändeAußenwände : Mauerziegel_270mm_E -> Baustoff  Mauerziegel,0.8449208027,9.7487883663e-12,9.7595207556e-05,0.001376007563,0.0001572059932,10.4569291806,8.7264529805,0.0,8.7264529805,1.7304762001,0.0,1.7304762001,6.2354897367e-08,8.2243707978
Cost Group 334 Außentüren und -fensterAußenwände : Fenster 1,0.5516030839,1.5039532243e-10,0.00023347984965,0.0037083083582,0.00031143186026,9.4571671809,8.7523552329,0.0,8.7523552329,0.704811948,0.0,0.704811948,1.3102771884e-05,8.2483309127
Cost Group 334 Außentüren und -fensterAußenwände : Fenster 1 -> Baustoff Flügelrahmen PVC-U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost Group 334 Außentüren und -fensterAußenwände : Fenster 1 -> Baustoff Blendrahmen PVC-U,0.238195113,4.4293090156e-12,4.7602241798e-05,0.00033675920908,4.4438370801e-05,3.1795059445,2.8296059093,0.0,2.8296059093,0.3499000353,0.0,0.3499000353,3.1417574349e-06,2.6602736327
Cost Group 334 Außentüren und -fensterAußenwände : Fenster 1 -> Baustoff Glas - Bundesverband Flachglas e.V. - Mehrscheibenisolierglas 3-fach Aufbau,0.3134079709,1.4596601341e-10,0.00018587760785,0.0033715491491,0.00026699348945,6.2776612364,5.9227493236,0.0,5.9227493236,0.3549119127,0.0,0.3549119127,9.9610144495e-06,5.58805728
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe)",2.1986259132,6.1547238927e-11,0.0049949529454,0.0036698124705,0.00048746735077,41.780851927,38.7520044103,0.1330449797,38.6189594306,3.0288475167,0.0,3.0288475167,3.0951150762e-06,37.7099584222
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe) -> Baustoff  Kunstharzputz",0.2987147856,2.5395667188e-14,0.00039123544579,0.00089910996096,0.00012546685604,7.6688426093,6.8007282804,0.0,6.8007282804,0.8681143289,0.0,0.8681143289,8.21404529e-07,6.5378838644
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe) -> Baustoff  Dämmplatte mit Neopor® Plus",1.3300408471,6.1482511545e-11,0.0039979198494,0.0012528856642,0.00014326872299,20.0734339422,19.4424245048,0.1330449797,19.3093795251,0.6310094374,0.0,0.6310094374,1.0241737104e-06,19.1400743358
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe) -> Baustoff  Kunstharzestrich",0.1217981023,1.2382137721e-15,1.8944481479e-05,0.00016915190396,3.0531487671e-05,2.5353114615,2.3077592046,0.0,2.3077592046,0.2275522569,0.0,0.2275522569,1.7430043314e-08,2.2251744253
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe) -> Baustoff  Kunstharzputz",0.4480721783,3.8093500782e-14,0.00058685316868,0.0013486649414,0.00018820028406,11.503263914,10.2010924206,0.0,10.2010924206,1.3021714934,0.0,1.3021714934,1.2321067935e-06,9.8068257966
"Cost Group 336 Außenwandbekleidungen, innenAußenwände : Gips-Putz/Anstrich",0.1849537717,2.5864496566e-15,5.9023136374e-05,0.00051974397752,5.0392266917e-05,4.1290771525,3.620848064,0.0,3.620848064,0.5082290885,0.0,0.5082290885,5.3591245588e-07,3.4618901813
"Cost Group 336 Außenwandbekleidungen, innenAußenwände : Gips-Putz/Anstrich -> Baustoff  Innenfarbe Dispersionsfarbe scheuerfest",0.1202513234,1.8046977696e-15,4.9824113103e-05,0.00042302035414,3.5458122477e-05,2.9907591093,2.6569088007,0.0,2.6569088007,0.3338503086,0.0,0.3338503086,5.2607335173e-07,2.5427980606
"Cost Group 336 Außenwandbekleidungen, innenAußenwände : Gips-Putz/Anstrich -> Baustoff  Gipsputz (Gips)",0.0647024483,7.8175188706e-16,9.1990232707e-06,9.6723623379e-05,1.4934144441e-05,1.1383180432,0.9639392632,0.0,0.9639392632,0.1743787799,0.0,0.1743787799,9.8391041497e-09,0.9190921207
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5,1.6259780717,1.4639112611e-13,0.00066399425567,0.0039038098355,0.0011294590279,28.9253444163,21.5757287148,0.0022853262032,21.5734433885,7.3496157015,0.0169283422,7.3326873593,1.3496653154e-06,19.8846351295
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  Kunstharzputz,0.2596692457,2.2076154452e-14,0.00034009636621,0.000781585702,0.00010906686058,6.6664345793,5.9117930152,0.0,5.9117930152,0.7546415641,0.0,0.7546415641,7.1403728498e-07,5.6833054595
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  Transportbeton C20/25,0.5242518861,2.4060371568e-15,7.8286682481e-06,0.00078237312553,0.00014739215334,3.0432922401,2.5508290152,0.0,2.5508290152,0.4924632248,0.0,0.4924632248,4.3633293362e-08,2.4122714857
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  Bewehrungsstahl,0.6053955526,1.8473731755e-14,0.00023565539479,0.0011361688003,0.00015448220391,11.1515654712,7.7952810521,0.0,7.7952810521,3.3562844191,0.0,3.3562844191,2.0394714799e-07,6.7573078369
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  Mineralwolle (Boden-Dämmung),0.0388033475,6.7827172998e-16,8.7515991876e-06,0.00016605016248,2.5405048906e-05,0.5938455228,0.5133455881,0.0,0.5133455881,0.0804999347,0.0,0.0804999347,8.179058853e-09,0.4915909447
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  PE/PP Vlies,0.0352090873,1.756316692e-16,3.2415872098e-06,1.846712154e-05,2.7336007455e-06,0.5306909507,0.4995031508,0.0,0.4995031508,0.0311877998,0.0,0.0311877998,2.9349647793e-09,0.4879650855
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  Estrichmörtel-Zementestrich,0.1511700963,3.0462551872e-14,2.7694767914e-05,0.00026238930481,3.8596620321e-05,1.1880310588,1.0427858824,0.0022853262032,1.0405005561,0.1452451765,0.0169283422,0.1283168342,1.6959659679e-07,0.9843831016
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  Linoleum,0.0114788561,7.2118747479e-14,4.0725872118e-05,0.00075677561892,0.00065178254014,5.7514845934,3.2621910109,0.0,3.2621910109,2.4892935825,0.0,2.4892935825,2.0733696864e-07,3.0678112157
Cost Group 351 DeckenkonstruktionenDecken : IBO_GDm_01,1.3893166844,4.2955923363e-14,0.00058358042924,0.0027001276278,0.00041094121782,20.8612922905,16.2579030825,0.0,16.2579030825,4.603389208,0.0,4.603389208,9.6161772634e-07,14.8528847821
Cost Group 351 DeckenkonstruktionenDecken : IBO_GDm_01 -> Baustoff  Kunstharzputz,0.2596692457,2.2076154452e-14,0.00034009636621,0.000781585702,0.00010906686058,6.6664345793,5.9117930152,0.0,5.9117930152,0.7546415641,0.0,0.7546415641,7.1403728498e-07,5.6833054595
Cost Group 351 DeckenkonstruktionenDecken : IBO_GDm_01 -> Baustoff  Transportbeton C20/25,0.5242518861,2.4060371568e-15,7.8286682481e-06,0.00078237312553,0.00014739215334,3.0432922401,2.5508290152,0.0,2.5508290152,0.4924632248,0.0,0.4924632248,4.3633293362e-08,2.4122714857
Cost Group 351 DeckenkonstruktionenDecken : IBO_GDm_01 -> Baustoff  Bewehrungsstahl,0.6053955526,1.8473731755e-14,0.00023565539479,0.0011361688003,0.00015448220391,11.1515654712,7.7952810521,0.0,7.7952810521,3.3562844191,0.0,3.3562844191,2.0394714799e-07,6.7573078369
Cost Group 352 DeckenbelägeDecken : IBO_KDo_01,0.2366613872,1.0343520275e-13,8.041382643e-05,0.0012036822078,0.00071851781011,8.0640521257,5.3178256322,0.0022853262032,5.315540306,2.7462264935,0.0169283422,2.7292981513,3.8804758906e-07,5.0317503475
Cost Group 352 DeckenbelägeDecken : IBO_KDo_01 -> Baustoff  Mineralwolle (Boden-Dämmung),0.0388033475,6.7827172998e-16,8.7515991876e-06,0.00016605016248,2.5405048906e-05,0.5938455228,0.5133455881,0.0,0.5133455881,0.0804999347,0.0,0.0804999347,8.179058853e-09,0.4915909447
Cost Group 352 DeckenbelägeDecken : IBO_KDo_01 -> Baustoff  PE/PP Vlies,0.0352090873,1.756316692e-16,3.2415872098e-06,1.846712154e-05,2.7336007455e-06,0.5306909507,0.4995031508,0.0,0.4995031508,0.0311877998,0.0,0.0311877998,2.9349647793e-09,0.4879650855
