Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 10,0.6594307514,6.2405176225e-14,0.00011268183338,0.00097098892367,0.00016566896997,9.2218148386,7.9769878775,0.0,7.9769878775,1.2448269611,0.0,1.2448269611,2.6058213068e-07,7.5796543372
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 10 -> Baustoff  Voranstrich (Kunstharz),0.0310614276,5.2534146723e-15,1.8193420929e-05,9.0086379212e-05,1.6311118852e-05,0.7356210732,0.6149334163,0.0,0.6149334163,0.1206876569,0.0,0.1206876569,1.7657965615e-07,0.5894298418
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 10 -> Baustoff  Zementestrich,0.1775912629,5.2606424043e-14,1.8385213491e-05,0.00023537859304,3.7317519712e-05,1.5727358503,1.3057755847,0.0,1.3057755847,0.2669602656,0.0,0.2669602656,1.8105292042e-08,1.2085912572
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 10 -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0074538380295,2.6875578736e-17,9.3781539174e-07,5.5332267785e-06,6.817362728e-07,0.1127916275,0.1076580209,0.0,0.1076580209,0.0051336066404,0.0,0.0051336066404,1.7269177047e-09,0.1051812323
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 10 -> Baustoff  Bitumenbahnen V 60,0.0275628063,2.5506786606e-16,1.1052582542e-05,8.635657615e-05,2.0294079028e-05,2.2239404893,2.1708979184,0.0,2.1708979184,0.0530425709,0.0,0.0530425709,7.9553382313e-09,2.1458458557
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 10 -> Baustoff  XPS-Dämmstoff,0.1213817084,5.5189913035e-16,2.5635694197e-05,7.9317055787e-05,1.0665031971e-05,1.7192658275,1.6160255225,0.0,1.6160255225,0.103240305,0.0,0.103240305,8.6195418892e-09,1.5787518248
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 10 -> Baustoff  Bewehrungsstahl,0.0910467611,2.7783049188e-15,3.5440730177e-05,0.00017087091056,2.3232916483e-05,1.6771083186,1.1723493649,0.0,1.1723493649,0.5047589536,0.0,0.5047589536,3.0672057599e-08,1.0162463031
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 10 -> Baustoff  Transportbeton C20/25,0.2033329471,9.3319001572e-16,3.0363766515e-06,0.00030344618214,5.7166567649e-05,1.1803516522,0.9893480498,0.0,0.9893480498,0.1910036024,0.0,0.1910036024,1.6923327058e-08,0.9356080222
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,0.4157614166,4.2633940649e-15,6.4112801025e-05,0.00055363414849,9.1064516103e-05,4.5767257983,3.7777229372,0.0,3.7777229372,0.7990028611,0.0,0.7990028611,5.6214926546e-08,3.5306061502
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  XPS-Dämmstoff,0.1213817084,5.5189913035e-16,2.5635694197e-05,7.9317055787e-05,1.0665031971e-05,1.7192658275,1.6160255225,0.0,1.6160255225,0.103240305,0.0,0.103240305,8.6195418892e-09,1.5787518248
