area,GWP,unit
total district (44 buildings x 632.0 m²),846670.84,kg CO2-eqv./a
one building,30.44702394,kg CO2-eqv./m²a
module B6 district scale,693370.48,kg CO2-eqv./a
module B6 per building,24.93420886,kg CO2-eqv./m²a
construction (CG 300 of DIN 276) district scale,153300.36,kg CO2-eqv./a
construction (CG 300 of DIN 276) per building,5.51281508,kg CO2-eqv./m²a
systems (CG 400 of DIN 276) district scale,,kg CO2-eqv./a
systems (CG 400 of DIN 276) per building,,kg CO2-eqv./m²a
