Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 8,0.7873088116,8.3312806471e-14,0.00013059197088,0.0012393416057,0.00021376451866,10.9925694223,9.404960671,0.0,9.404960671,1.5876087513,0.0,1.5876087513,3.4279964383e-07,8.901694762
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 8 -> Baustoff  Voranstrich (Kunstharz),0.0416891641,7.050882186e-15,2.4418340362e-05,0.00012090963421,2.1892004442e-05,0.9873154594,0.8253342523,0.0,0.8253342523,0.1619812071,0.0,0.1619812071,2.3699677821e-07,0.791104573
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 8 -> Baustoff  Zementestrich,0.2383545085,7.0605829025e-14,2.4675755176e-05,0.00031591390213,5.0085792074e-05,2.1108509192,1.752549605,0.0,1.752549605,0.3583013142,0.0,0.3583013142,2.430005798e-08,1.6221134437
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 8 -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0100041853,3.6071117771e-17,1.2586910137e-06,7.4264326265e-06,9.149938547e-07,0.1513835337,0.1444934521,0.0,0.1444934521,0.0068900815694,0.0,0.0068900815694,2.317786438e-09,0.1411692248
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 8 -> Baustoff  Bitumenbahnen V 60,0.0369934817,3.423399037e-16,1.483424824e-05,0.00011590367073,2.72377433e-05,2.9848666737,2.9136754693,0.0,2.9136754693,0.0711912045,0.0,0.0711912045,1.06772749e-08,2.8800517876
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 8 -> Baustoff  XPS-Dämmstoff,0.065165092,2.9629305809e-16,1.3762801592e-05,4.258222513e-05,5.7256385515e-06,0.9230065816,0.8675808996,0.0,0.8675808996,0.055425682,0.0,0.055425682,4.6274949265e-09,0.8475701091
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 8 -> Baustoff  Bewehrungsstahl,0.1221986129,3.7289081257e-15,4.7566854826e-05,0.00022933477262,3.1182110526e-05,2.2509346596,1.5734713074,0.0,1.5734713074,0.6774633522,0.0,0.6774633522,4.116657032e-08,1.3639572359
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 8 -> Baustoff  Transportbeton C20/25,0.2729037671,1.252483055e-15,4.0752796757e-06,0.00040727096822,7.6726235907e-05,1.5842115951,1.3278556853,0.0,1.3278556853,0.2563559098,0.0,0.2563559098,2.2713681049e-08,1.2557283878
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,0.460267472,5.2776842388e-15,6.5404936094e-05,0.00067918796596,0.00011363398499,4.7581528363,3.7689078923,0.0,3.7689078923,0.989244944,0.0,0.989244944,6.8507746295e-08,3.4672557328
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  XPS-Dämmstoff,0.065165092,2.9629305809e-16,1.3762801592e-05,4.258222513e-05,5.7256385515e-06,0.9230065816,0.8675808996,0.0,0.8675808996,0.055425682,0.0,0.055425682,4.6274949265e-09,0.8475701091
