Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 5,0.9819574182,7.2436662811e-13,0.00023455103844,0.0020128146964,0.00033467318659,18.3830303496,10.7819179346,0.0001817227151,10.7817362118,7.6011124151,0.0024048325826,7.5987075825,2.5782166667e-07,9.9514354405
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 5 -> Baustoff  Massivholzparkett (Durchschnitt DE),0.0853846138,1.1318995367e-14,5.6368801646e-05,0.00053106689083,0.00012122081326,7.4815624084,1.0641659782,0.0001817227151,1.0639842555,6.4173964302,0.0024048325826,6.4149915976,4.2089031935e-08,0.8896266064
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 5 -> Baustoff  Zementestrich,0.2584597601,7.6561445161e-14,2.6757160178e-05,0.00034256130446,5.4310538892e-05,2.2889016264,1.900377523,0.0,1.900377523,0.3885241034,0.0,0.3885241034,2.6349772846e-08,1.7589390449
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 5 -> Baustoff  Bitumenbahnen V 60,0.0401138895,3.7121634468e-16,1.6085520116e-05,0.00012568016909,2.9535252525e-05,3.2366407889,3.1594445917,0.0,3.1594445917,0.0771961971,0.0,0.0771961971,1.1577905224e-08,3.1229847456
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 5 -> Baustoff  Transportbeton C30/37,0.2338309793,1.1226418443e-15,5.3581823743e-06,0.00031226855508,5.8614916887e-05,1.1652386714,0.9407058539,0.0,0.9407058539,0.2245328176,0.0,0.2245328176,1.844995106e-08,0.8768974919
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 5 -> Baustoff  Baustähle: Offene Walzprofile und Grobbleche,0.3641681756,6.3499232939e-13,0.00012998137412,0.00070123777697,7.0991665031e-05,4.2106868545,3.7172239877,0.0,3.7172239877,0.4934628668,0.0,0.4934628668,1.5935500561e-07,3.3029875518
Cost Group 324 Unterböden und BodenplattenGründung : Ortbeton Stahlträger,0.5979991548,6.3611497123e-13,0.0001353395565,0.001013506332,0.00012960658192,5.3759255259,4.6579298416,0.0,4.6579298416,0.7179956843,0.0,0.7179956843,1.7780495667e-07,4.1798850437
Cost Group 324 Unterböden und BodenplattenGründung : Ortbeton Stahlträger -> Baustoff  Transportbeton C30/37,0.2338309793,1.1226418443e-15,5.3581823743e-06,0.00031226855508,5.8614916887e-05,1.1652386714,0.9407058539,0.0,0.9407058539,0.2245328176,0.0,0.2245328176,1.844995106e-08,0.8768974919
Cost Group 324 Unterböden und BodenplattenGründung : Ortbeton Stahlträger -> Baustoff  Baustähle: Offene Walzprofile und Grobbleche,0.3641681756,6.3499232939e-13,0.00012998137412,0.00070123777697,7.0991665031e-05,4.2106868545,3.7172239877,0.0,3.7172239877,0.4934628668,0.0,0.4934628668,1.5935500561e-07,3.3029875518
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm,0.3839582634,8.8251656873e-14,9.921148194e-05,0.00099930836439,0.00020506660468,13.0071048237,6.123988093,0.0001817227151,6.1238063702,6.8831167307,0.0024048325826,6.8807118982,8.0016710005e-08,5.7715503968
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  Massivholzparkett (Durchschnitt DE),0.0853846138,1.1318995367e-14,5.6368801646e-05,0.00053106689083,0.00012122081326,7.4815624084,1.0641659782,0.0001817227151,1.0639842555,6.4173964302,0.0024048325826,6.4149915976,4.2089031935e-08,0.8896266064
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  Zementestrich,0.2584597601,7.6561445161e-14,2.6757160178e-05,0.00034256130446,5.4310538892e-05,2.2889016264,1.900377523,0.0,1.900377523,0.3885241034,0.0,0.3885241034,2.6349772846e-08,1.7589390449
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  Bitumenbahnen V 60,0.0401138895,3.7121634468e-16,1.6085520116e-05,0.00012568016909,2.9535252525e-05,3.2366407889,3.1594445917,0.0,3.1594445917,0.0771961971,0.0,0.0771961971,1.1577905224e-08,3.1229847456
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 4,1.1044183819,6.7592255291e-12,0.00052635033385,0.0023566305974,0.00029432613736,19.7615976784,17.1599813716,0.0,17.1599813716,2.6016163068,0.0,2.6016163068,1.2756714968e-06,16.3744134415
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 4 -> Baustoff  Innenfarbe Dispersionsfarbe scheuerfest,0.0830180961,1.2459120492e-15,3.4397151646e-05,0.00029204122992,2.447928001e-05,2.0647350893,1.8342543246,0.0,1.8342543246,0.2304807647,0.0,0.2304807647,3.6318609061e-07,1.7554755127
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 4 -> Baustoff  Gipsputz (Gips),0.0446687314,5.3969928482e-16,6.3507442226e-06,6.6775240619e-05,1.0310108882e-05,0.7858624251,0.6654762714,0.0,0.6654762714,0.1203861537,0.0,0.1203861537,6.7926378699e-09,0.6345150788
