Indicator,Unit,A1-A3,B4,B6,C3,C4,total,D
GWP,kg CO2-eqv./m²a,0.4250804007,0.6770619046,64.9984611894,2.0035437393,0.0726034214,68.1767506555,-0.9343167298
ODP,kg R11 eqv./m²a,8.7566116422e-11,8.2780114267e-11,1.208942765e-14,7.5144896716e-14,2.1399847493e-14,1.7045486486e-10,-1.058219896e-12
POCP,kg ethene eqv./m²a,0.0006832421361,0.0001589315206,0.0041493986326,2.0422542679e-05,3.2480545131e-05,0.0050444753771,-7.0388358544e-05
AP,kg SO2 eqv./m²a,0.0060956633775,0.0017511320949,0.0311271574,0.00018696849428,0.00041756665248,0.039578488,-0.0010467205487
EP,kg PO4 eqv./m²a,0.0011557252743,0.00026518161652,0.0049898663682,4.4439074414e-05,5.9614141208e-05,0.0065148264746,-0.00018069986652
Total PE,MJ/m²a,83.003084136,11.9757091409,1093.2723758,-19.4739923426,1.0646853388,1169.841862,1.4789859667
PENRT,MJ/m²a,30.5540022756,10.3704655742,1089.7164524,0.5547059454,0.9756428295,1132.1712691,-12.7450264676
PENRM,MJ/m²a,1.9306725455,0.0071544846154,0.0,-1.8975495149,0.0,0.0402775153,0.0
PENRE,MJ/m²a,28.6233277532,10.3633091127,1089.7164524,2.4522554602,0.9756428295,1132.1309876,-12.7450264676
PERT,MJ/m²a,52.4490818604,1.6052435667,3.5559233181,-20.028698288,0.0890425093,37.6705929665,14.2240124343
PERM,MJ/m²a,20.6506278728,0.0468530769,0.0,-20.5168192059,-0.0322238462,0.1484378976,0.0
PERE,MJ/m²a,31.7973073723,1.5563186744,3.5559233181,0.487195718,0.1212663554,37.5180114381,14.2240124343
ADP elem.,kg Sb eqv./m²a,0.00057522540187,0.00057454788048,3.9275821889e-06,3.2446907289e-08,1.8067629165e-08,0.0011537513791,-3.6396426562e-07
ADP fossil,MJ/m²a,28.5750873661,9.9751131057,1088.8762365,0.5489620789,0.9431663405,1128.9185654,-10.7206347464
