Indicator,Unit,A1-A3,B4,B6,C3,C4,total,D
GWP,kg CO2-eqv./m²a,5.7220553588,0.5298177848,57.6399510282,0.3555436838,0.0809404403,64.3283082959,-0.1882958329
ODP,kg R11 eqv./m²a,7.6733169571e-12,1.7959679133e-12,1.1761966335e-14,7.6253805485e-14,2.1918434264e-14,9.5792190764e-12,-7.4620152134e-13
POCP,kg ethene eqv./m²a,0.0019652101755,0.00017390631098,0.0036804020288,7.9891841462e-05,3.7722341998e-05,0.0059371326988,3.6577889058e-06
AP,kg SO2 eqv./m²a,0.0106949431,0.0020563280244,0.0276189046,0.00085282146268,0.00048488166424,0.0417078789,-0.00030314560803
EP,kg PO4 eqv./m²a,0.0019655360477,0.0010297705384,0.0044284839075,0.00015124670258,7.0800007177e-05,0.0076458372033,-5.3458269619e-05
Total PE,MJ/m²a,88.3211571268,17.4642104008,969.5966052481,2.5154106334,1.2950601803,1079.1924436,-3.6490173776
PENRT,MJ/m²a,70.3310824292,13.4360842462,966.2559043888,2.266509866,1.1517063481,1053.4412873,-2.9411621701
PENRM,MJ/m²a,4.0671636642,0.0,0.0,-4.0626725683,0.0,0.0044910959488,0.0
PENRE,MJ/m²a,66.263918765,13.4360842462,966.2559043888,6.3291824343,1.1517063481,1053.4367962,-2.9411621701
PERT,MJ/m²a,17.9900746976,4.0281261545,3.3407008593,0.2489007674,0.1433538322,25.751156311,-0.7078552075
PERM,MJ/m²a,1.6331687846,0.0,0.0,-1.5999014072,0.0,0.0332673774,0.0
PERE,MJ/m²a,16.3569059129,4.0281261545,3.3407008593,1.8488021747,0.1433538322,25.7178889336,-0.7078552075
ADP elem.,kg Sb eqv./m²a,5.0167266863e-06,1.8018293191e-06,3.4914788175e-06,7.7632713701e-08,1.6219610667e-08,1.0403887147e-05,-8.8002288394e-08
ADP fossil,MJ/m²a,65.1243344144,12.889129665,965.4535043667,2.2043536821,1.1158087613,1046.7871309,-2.6950481944
