Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 7,0.9184945035,1.0121057995e-13,0.0001505545571,0.001482355569,0.00025666531097,12.8162047602,10.9178266528,0.0,10.9178266528,1.8983781074,0.0,1.8983781074,4.1436801471e-07,10.3175334189
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 7 -> Baustoff  Voranstrich (Kunstharz),0.050735306,8.5808548448e-15,2.971688204e-05,0.00014714584546,2.6642355868e-05,1.2015532837,1.0044237346,0.0,1.0044237346,0.1971295491,0.0,0.1971295491,2.8842276738e-07,0.9627665488
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 7 -> Baustoff  Zementestrich,0.2900751119,8.5926605222e-14,3.0030153357e-05,0.00038446413741,6.0953920409e-05,2.568884979,2.1328357746,0.0,2.1328357746,0.4360492044,0.0,0.4360492044,2.9572933534e-08,1.9740962386
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 7 -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0121749959,4.3898198484e-17,1.5318146862e-06,9.0378960678e-06,1.1135385962e-06,0.1842322839,0.1758471218,0.0,0.1758471218,0.0083851620629,0.0,0.0083851620629,2.820723487e-09,0.1718015697
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 7 -> Baustoff  Bitumenbahnen V 60,0.0450207064,4.1662432356e-16,1.8053135412e-05,0.00014105363674,3.3148067915e-05,3.632553627,3.5459146256,0.0,3.5459146256,0.0866390014,0.0,0.0866390014,1.2994139405e-08,3.5049949329
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 7 -> Baustoff  XPS-Dämmstoff,0.0396526406,1.802928808e-16,8.3745976462e-06,2.5911076314e-05,3.4840231342e-06,0.5616450033,0.5279187461,0.0,0.5279187461,0.0337262572,0.0,0.0337262572,2.8158080941e-09,0.5157422777
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 7 -> Baustoff  Bewehrungsstahl,0.1487145199,4.5380448165e-15,5.7888398348e-05,0.00027909818131,3.7948324355e-05,2.7393655247,1.9148992332,0.0,1.9148992332,0.8244662915,0.0,0.8244662915,5.0099314533e-08,1.6599226518
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 7 -> Baustoff  Transportbeton C20/25,0.3321212226,1.524259661e-15,4.9595756143e-06,0.00049564479573,9.3375080698e-05,1.9279700586,1.6159874169,0.0,1.6159874169,0.3119826417,0.0,0.3119826417,2.7642328283e-08,1.5282091994
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,0.5204883832,6.2425973583e-15,7.1222571608e-05,0.00080065405334,0.00013480742819,5.2289805866,4.0588053962,0.0,4.0588053962,1.1701751904,0.0,1.1701751904,8.055745091e-08,3.7038741289
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  XPS-Dämmstoff,0.0396526406,1.802928808e-16,8.3745976462e-06,2.5911076314e-05,3.4840231342e-06,0.5616450033,0.5279187461,0.0,0.5279187461,0.0337262572,0.0,0.0337262572,2.8158080941e-09,0.5157422777
