Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 4,0.3920089042,1.0480810359e-12,8.9187352655e-05,0.00093774182647,0.00017988335921,11.4584487895,5.7761686268,0.00014543843764,5.7760231884,5.6822801627,0.0019246635921,5.6803554991,7.0291842488e-08,5.4437609282
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 4 -> Baustoff  Massivholzparkett (Durchschnitt DE),0.0683360075,9.0589500651e-15,4.5113735169e-05,0.00042502963289,9.7016851638e-05,5.9877310726,0.8516856969,0.00014543843764,0.8515402585,5.1360453756,0.0019246635921,5.134120712,3.3685183732e-08,0.7119963162
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 4 -> Baustoff  Zementestrich,0.2068535223,6.1274546562e-14,2.1414601745e-05,0.00027416264879,4.3466442373e-05,1.8318803804,1.5209322496,0.0,1.5209322496,0.3109481308,0.0,0.3109481308,2.1088556776e-08,1.4077345611
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 4 -> Baustoff  Bitumenbahnen V 60,0.0321044148,2.9709618397e-16,1.287375061e-05,0.00010058581518,2.3637996935e-05,2.5903860135,2.5286034549,0.0,2.5286034549,0.0617825586,0.0,0.0617825586,9.2661638143e-09,2.4994234866
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 4 -> Baustoff  Mauerziegel,0.0847149596,9.7745044307e-13,9.7852651307e-06,0.00013796372961,1.5762068263e-05,1.048451323,0.8749472254,0.0,0.8749472254,0.1735040976,0.0,0.1735040976,6.2519381659e-09,0.8246065642
Cost Group 324 Unterböden und BodenplattenGründung : Ziegel Kappendecke,0.0847149596,9.7745044307e-13,9.7852651307e-06,0.00013796372961,1.5762068263e-05,1.048451323,0.8749472254,0.0,0.8749472254,0.1735040976,0.0,0.1735040976,6.2519381659e-09,0.8246065642
Cost Group 324 Unterböden und BodenplattenGründung : Ziegel Kappendecke -> Baustoff  Mauerziegel,0.0847149596,9.7745044307e-13,9.7852651307e-06,0.00013796372961,1.5762068263e-05,1.048451323,0.8749472254,0.0,0.8749472254,0.1735040976,0.0,0.1735040976,6.2519381659e-09,0.8246065642
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm,0.3072939446,7.0630592811e-14,7.9402087524e-05,0.00079977809686,0.00016412129095,10.4099974665,4.9012214014,0.00014543843764,4.901075963,5.5087760651,0.0019246635921,5.5068514015,6.4039904323e-08,4.6191543639
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  Massivholzparkett (Durchschnitt DE),0.0683360075,9.0589500651e-15,4.5113735169e-05,0.00042502963289,9.7016851638e-05,5.9877310726,0.8516856969,0.00014543843764,0.8515402585,5.1360453756,0.0019246635921,5.134120712,3.3685183732e-08,0.7119963162
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  Zementestrich,0.2068535223,6.1274546562e-14,2.1414601745e-05,0.00027416264879,4.3466442373e-05,1.8318803804,1.5209322496,0.0,1.5209322496,0.3109481308,0.0,0.3109481308,2.1088556776e-08,1.4077345611
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  Bitumenbahnen V 60,0.0321044148,2.9709618397e-16,1.287375061e-05,0.00010058581518,2.3637996935e-05,2.5903860135,2.5286034549,0.0,2.5286034549,0.0617825586,0.0,0.0617825586,9.2661638143e-09,2.4994234866
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 4,0.6150612021,3.7642776026e-12,0.0002931295552,0.0013124302092,0.00016391305216,11.0054235079,9.5565584046,0.0,9.5565584046,1.4488651033,0.0,1.4488651033,7.1043370619e-07,9.1190680809
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 4 -> Baustoff  Innenfarbe Dispersionsfarbe scheuerfest,0.0462335749,6.9386038406e-16,1.915610405e-05,0.00016264056527,1.36327461e-05,1.1498707979,1.0215138468,0.0,1.0215138468,0.1283569511,0.0,0.1283569511,2.0226182136e-07,0.97764117
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 4 -> Baustoff  Gipsputz (Gips),0.0248764455,3.0056371418e-16,3.5367904406e-06,3.7187772711e-05,5.741798639e-06,0.4376543308,0.3706101258,0.0,0.3706101258,0.067044205,0.0,0.067044205,3.7828852561e-09,0.3533675403
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 4 -> Baustoff  Mauerziegel,0.3248505553,3.7481611348e-12,3.7522874655e-05,0.00052903990478,6.0441705342e-05,4.0204232641,3.3550991854,0.0,3.3550991854,0.6653240787,0.0,0.6653240787,2.3973871839e-08,3.1620613582
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 4 -> Baustoff  Kunstharzestrich,0.046828272,4.760616974e-16,7.2836712145e-06,6.5034604146e-05,1.1738580342e-05,0.9747627631,0.8872747088,0.0,0.8872747088,0.0874880543,0.0,0.0874880543,6.7014082648e-09,0.855522962
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 4 -> Baustoff  Kunstharzputz,0.1722723544,1.4645982019e-14,0.00022563011484,0.00051852736232,7.2358221738e-05,4.4227123521,3.9220605379,0.0,3.9220605379,0.5006518143,0.0,0.5006518143,4.7371371947e-07,3.7704750504
Cost Group 331 Tragende AußenwändeAußenwände : Mauerziegel_270mm_E,0.3248505553,3.7481611348e-12,3.7522874655e-05,0.00052903990478,6.0441705342e-05,4.0204232641,3.3550991854,0.0,3.3550991854,0.6653240787,0.0,0.6653240787,2.3973871839e-08,3.1620613582
Cost Group 331 Tragende AußenwändeAußenwände : Mauerziegel_270mm_E -> Baustoff  Mauerziegel,0.3248505553,3.7481611348e-12,3.7522874655e-05,0.00052903990478,6.0441705342e-05,4.0204232641,3.3550991854,0.0,3.3550991854,0.6653240787,0.0,0.6653240787,2.3973871839e-08,3.1620613582
Cost Group 334 Außentüren und -fensterAußenwände : Fenster 4,0.4178798911,4.6363067539e-15,0.00012385332084,0.0012219948856,0.00023176590802,7.2239681769,5.3078254895,0.0,5.3078254895,1.9161426874,0.0,1.9161426874,4.1986730783e-07,5.0117198744
"Cost Group 334 Außentüren und -fensterAußenwände : Fenster 4 -> Baustoff  Elastomer Fugenbänder, Polyurethan",0.1302177572,1.5511492043e-15,2.3958474689e-05,0.00018253117415,3.3441336725e-05,2.0920207133,1.802524268,0.0,1.802524268,0.2894964453,0.0,0.2894964453,6.0129146137e-08,1.6961436232
Cost Group 334 Außentüren und -fensterAußenwände : Fenster 4 -> Baustoff Isolierglas 2-Scheiben,0.2313962951,1.1500645926e-15,5.4634727803e-05,0.00089986309576,0.00017490675094,2.9134625192,2.6895882225,0.0,2.6895882225,0.2238742967,0.0,0.2238742967,8.3811892878e-08,2.6215570072
Cost Group 334 Außentüren und -fensterAußenwände : Fenster 4 -> Baustoff Holz-Flügelrahmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cost Group 334 Außentüren und -fensterAußenwände : Fenster 4 -> Baustoff Holz-Blendrahmen,0.0562658388,1.935092957e-15,4.5260118348e-05,0.00013960061565,2.3417820352e-05,2.2184849444,0.815712999,0.0,0.815712999,1.4027719454,0.0,1.4027719454,2.7592626881e-07,0.6940192439
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe)",0.2191006264,1.5122043717e-14,0.00023291378606,0.00058356196646,8.4096802081e-05,5.3974751152,4.8093352467,0.0,4.8093352467,0.5881398685,0.0,0.5881398685,4.8041512773e-07,4.6259980124
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe) -> Baustoff  Kunstharzestrich",0.046828272,4.760616974e-16,7.2836712145e-06,6.5034604146e-05,1.1738580342e-05,0.9747627631,0.8872747088,0.0,0.8872747088,0.0874880543,0.0,0.0874880543,6.7014082648e-09,0.855522962
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe) -> Baustoff  Kunstharzputz",0.1722723544,1.4645982019e-14,0.00022563011484,0.00051852736232,7.2358221738e-05,4.4227123521,3.9220605379,0.0,3.9220605379,0.5006518143,0.0,0.5006518143,4.7371371947e-07,3.7704750504
"Cost Group 336 Außenwandbekleidungen, innenAußenwände : Gips-Putz/Anstrich",0.0711100203,9.9442409824e-16,2.2692894491e-05,0.00019982833798,1.9374544739e-05,1.5875251287,1.3921239726,0.0,1.3921239726,0.1954011561,0.0,0.1954011561,2.0604470662e-07,1.3310087103
"Cost Group 336 Außenwandbekleidungen, innenAußenwände : Gips-Putz/Anstrich -> Baustoff  Innenfarbe Dispersionsfarbe scheuerfest",0.0462335749,6.9386038406e-16,1.915610405e-05,0.00016264056527,1.36327461e-05,1.1498707979,1.0215138468,0.0,1.0215138468,0.1283569511,0.0,0.1283569511,2.0226182136e-07,0.97764117
"Cost Group 336 Außenwandbekleidungen, innenAußenwände : Gips-Putz/Anstrich -> Baustoff  Gipsputz (Gips)",0.0248764455,3.0056371418e-16,3.5367904406e-06,3.7187772711e-05,5.741798639e-06,0.4376543308,0.3706101258,0.0,0.3706101258,0.067044205,0.0,0.067044205,3.7828852561e-09,0.3533675403
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 3,1.6207847236,3.0969099293e-12,0.00036091846672,0.0045138776684,0.00089295583438,44.7279393549,19.826597029,0.0385007199,19.7880963091,24.9013423258,0.1439638763,24.7573784495,0.00062674626293,18.5273185102
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 3 -> Baustoff  Kalk-Gips-Innenputz,0.056606315,3.6348891478e-16,5.5529776558e-07,7.1244986554e-05,1.4143516446e-05,0.6196193698,0.530315861,0.0,0.530315861,0.0893035088,0.0,0.0893035088,5.517088453e-09,0.507976797
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 3 -> Baustoff  Balkenschichtholz (Durchschnitt DE),0.0679017587,1.6362376821e-15,2.8387191525e-05,0.00027574960134,6.2056176308e-05,2.1953617612,0.955467221,0.0144426092,0.9410246118,1.2398945402,0.0213752611,1.218519279,3.571504088e-08,0.8630996221
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 3 -> Baustoff  Lehmputz,0.4552651824,3.2194877833e-14,-6.1039706441e-06,0.00074400406214,0.0001735843964,5.6967788525,4.7552298566,0.0,4.7552298566,0.9415489958,0.0,0.9415489958,5.9194559525e-08,4.5554888311
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 3 -> Baustoff  Konstruktionsvollholz (Durchschnitt DE),0.0463786836,1.1441833305e-15,3.395438144e-05,0.00023987145966,5.3394812583e-05,1.8371259885,0.630438054,0.0106658954,0.6197721586,1.2066879345,0.0199976531,1.1866902814,2.1250849398e-08,0.5501785518
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 3 -> Baustoff  Dampfbremse PE,0.0755465999,3.1091050869e-16,2.3654133646e-05,0.00041535056565,1.0501526086e-05,1.1538294004,1.0792647871,0.0,1.0792647871,0.0745646133,0.0,0.0745646133,0.00062622618638,1.0560848281
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 3 -> Baustoff  Estrichmörtel-Calciumsulfatestrich,0.6457421538,3.0250244308e-12,0.00010001649231,0.0010675384615,0.000191208,9.2742996923,8.4691384615,0.0128104615,8.456328,0.8051612308,0.0948923077,0.7102689231,2.6365827692e-07,8.1465046154
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 3 -> Baustoff  Massivholzparkett (Durchschnitt DE),0.2733440302,3.623580026e-14,0.00018045494067,0.0017001185315,0.00038806740655,23.9509242902,3.4067427878,0.00058175375057,3.406161034,20.5441815024,0.0076986543679,20.5364828481,1.3474073493e-07,2.8479852647
Cost Group 351 DeckenkonstruktionenDecken : Holzrahmen - Dämmung,0.6261519397,3.5338787761e-14,5.6792900087e-05,0.0013308701097,0.00030317890174,10.3488859719,6.8714509926,0.0251085046,6.846342488,3.4774349793,0.0413729142,3.4360620651,1.2167753826e-07,6.476743802
Cost Group 351 DeckenkonstruktionenDecken : Holzrahmen - Dämmung -> Baustoff  Kalk-Gips-Innenputz,0.056606315,3.6348891478e-16,5.5529776558e-07,7.1244986554e-05,1.4143516446e-05,0.6196193698,0.530315861,0.0,0.530315861,0.0893035088,0.0,0.0893035088,5.517088453e-09,0.507976797
Cost Group 351 DeckenkonstruktionenDecken : Holzrahmen - Dämmung -> Baustoff  Balkenschichtholz (Durchschnitt DE),0.0679017587,1.6362376821e-15,2.8387191525e-05,0.00027574960134,6.2056176308e-05,2.1953617612,0.955467221,0.0144426092,0.9410246118,1.2398945402,0.0213752611,1.218519279,3.571504088e-08,0.8630996221
Cost Group 351 DeckenkonstruktionenDecken : Holzrahmen - Dämmung -> Baustoff  Konstruktionsvollholz (Durchschnitt DE),0.0463786836,1.1441833305e-15,3.395438144e-05,0.00023987145966,5.3394812583e-05,1.8371259885,0.630438054,0.0106658954,0.6197721586,1.2066879345,0.0199976531,1.1866902814,2.1250849398e-08,0.5501785518
Cost Group 351 DeckenkonstruktionenDecken : Holzrahmen - Dämmung -> Baustoff  Lehmputz,0.4552651824,3.2194877833e-14,-6.1039706441e-06,0.00074400406214,0.0001735843964,5.6967788525,4.7552298566,0.0,4.7552298566,0.9415489958,0.0,0.9415489958,5.9194559525e-08,4.5554888311
Cost Group 352 DeckenbelägeDecken : Estrich - Dämmung,0.9946327839,3.0615711415e-12,0.00030412556663,0.0031830075587,0.00058977693264,34.3790533829,12.9551460364,0.0133922153,12.9417538211,21.4239073465,0.1025909621,21.3213163845,0.0006266245854,12.0505747082
Cost Group 352 DeckenbelägeDecken : Estrich - Dämmung -> Baustoff  Dampfbremse PE,0.0755465999,3.1091050869e-16,2.3654133646e-05,0.00041535056565,1.0501526086e-05,1.1538294004,1.0792647871,0.0,1.0792647871,0.0745646133,0.0,0.0745646133,0.00062622618638,1.0560848281
Cost Group 352 DeckenbelägeDecken : Estrich - Dämmung -> Baustoff  Estrichmörtel-Calciumsulfatestrich,0.6457421538,3.0250244308e-12,0.00010001649231,0.0010675384615,0.000191208,9.2742996923,8.4691384615,0.0128104615,8.456328,0.8051612308,0.0948923077,0.7102689231,2.6365827692e-07,8.1465046154
Cost Group 352 DeckenbelägeDecken : Estrich - Dämmung -> Baustoff  Massivholzparkett (Durchschnitt DE),0.2733440302,3.623580026e-14,0.00018045494067,0.0017001185315,0.00038806740655,23.9509242902,3.4067427878,0.00058175375057,3.406161034,20.5441815024,0.0076986543679,20.5364828481,1.3474073493e-07,2.8479852647
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 5,0.1325547451,1.6252887056e-10,2.7988049091e-05,0.00046528602953,5.6441952646e-05,2.1537064439,1.9876670746,0.0016313569231,1.9860317639,0.1660393692,0.0025493577383,0.1593463807,0.0005218769411,1.9404614976
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 5 -> Baustoff  Gipsputz (Gips-Kalk-Putz),0.0097315964692,1.0417435775e-16,6.1838760728e-07,1.4438234024e-05,2.3758816532e-06,0.1538565358,0.1302676722,0.0,0.1302676722,0.0235888636,0.0,0.0235888636,1.3279953522e-09,0.1242369878
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 5 -> Baustoff  Lehmstein,0.0515023943,2.3511642449e-16,5.465818599e-06,4.3536454349e-05,8.5212221497e-06,0.9010798986,0.8563848027,0.0,0.8563848027,0.0446950958,0.0,0.0446950958,7.1515304894e-09,0.8431162641
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 5 -> Baustoff  Nadelschnittholz - frisch (Durchschnitt DE),0.0046486389187,8.8329962373e-17,4.563263852e-07,1.9512331323e-05,4.482746336e-06,0.0894039707,0.0644611233,0.00013284923077,0.0643282741,0.0249428474,0.0037355115844,0.0212073358,1.7728854562e-09,0.0585995556
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 5 -> Baustoff  Dampfbremse PE,0.0629554999,2.5909209057e-16,1.9711778038e-05,0.00034612547138,8.7512717379e-06,0.9615245003,0.8993873226,0.0,0.8993873226,0.0621371778,0.0,0.0621371778,0.00052185515532,0.8800706901
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 5 -> Baustoff  FASBA e.V. Baustroh,0.0037166153846,1.6252818385e-10,1.7357384615e-06,4.1673538462e-05,3.2310830769e-05,0.0478415385,0.0371661538,0.0014985076923,0.0356636923,0.0106753846,-0.0011861538462,0.0077179076923,1.1533369231e-08,0.034438
Cost Group 361 DachkonstruktionenDächer : Sparrendach / Dämmung / Dampfbremse,0.1191065332,5.8253847743e-16,2.5633923022e-05,0.00040917425705,2.1755240224e-05,1.9520083696,1.8202332486,0.00013284923077,1.8201003993,0.131775121,0.0037355115844,0.1280396094,0.00052186407974,1.7817865098
Cost Group 361 DachkonstruktionenDächer : Sparrendach / Dämmung / Dampfbremse -> Baustoff  Nadelschnittholz - frisch (Durchschnitt DE),0.0046486389187,8.8329962373e-17,4.563263852e-07,1.9512331323e-05,4.482746336e-06,0.0894039707,0.0644611233,0.00013284923077,0.0643282741,0.0249428474,0.0037355115844,0.0212073358,1.7728854562e-09,0.0585995556
Cost Group 361 DachkonstruktionenDächer : Sparrendach / Dämmung / Dampfbremse -> Baustoff  Lehmstein,0.0515023943,2.3511642449e-16,5.465818599e-06,4.3536454349e-05,8.5212221497e-06,0.9010798986,0.8563848027,0.0,0.8563848027,0.0446950958,0.0,0.0446950958,7.1515304894e-09,0.8431162641
Cost Group 361 DachkonstruktionenDächer : Sparrendach / Dämmung / Dampfbremse -> Baustoff  Dampfbremse PE,0.0629554999,2.5909209057e-16,1.9711778038e-05,0.00034612547138,8.7512717379e-06,0.9615245003,0.8993873226,0.0,0.8993873226,0.0621371778,0.0,0.0621371778,0.00052185515532,0.8800706901
Cost Group 363 DachbelägeDächer : Ziegeldeckung / Lattung,0.0037166153846,1.6252818385e-10,1.7357384615e-06,4.1673538462e-05,3.2310830769e-05,0.0478415385,0.0371661538,0.0014985076923,0.0356636923,0.0106753846,-0.0011861538462,0.0077179076923,1.1533369231e-08,0.034438
Cost Group 363 DachbelägeDächer : Ziegeldeckung / Lattung -> Baustoff  FASBA e.V. Baustroh,0.0037166153846,1.6252818385e-10,1.7357384615e-06,4.1673538462e-05,3.2310830769e-05,0.0478415385,0.0371661538,0.0014985076923,0.0356636923,0.0106753846,-0.0011861538462,0.0077179076923,1.1533369231e-08,0.034438
Cost Group 364 DachbekleidungenDächer : GK Platte doppelt / Anstrich / Folie,0.0097315964692,1.0417435775e-16,6.1838760728e-07,1.4438234024e-05,2.3758816532e-06,0.1538565358,0.1302676722,0.0,0.1302676722,0.0235888636,0.0,0.0235888636,1.3279953522e-09,0.1242369878
Cost Group 364 DachbekleidungenDächer : GK Platte doppelt / Anstrich / Folie -> Baustoff  Gipsputz (Gips-Kalk-Putz),0.0097315964692,1.0417435775e-16,6.1838760728e-07,1.4438234024e-05,2.3758816532e-06,0.1538565358,0.1302676722,0.0,0.1302676722,0.0235888636,0.0,0.0235888636,1.3279953522e-09,0.1242369878
