Indicator,Unit,A1-A3,B4,B6,C3,C4,total,D
GWP,kg CO2-eqv./m²a,4.1675411708,0.4046608802,70.4991543463,0.2984428619,0.1562273174,75.5260265767,-0.1300657397
ODP,kg R11 eqv./m²a,2.49230666e-10,1.6419486029e-12,1.2334214186e-14,6.6963569138e-16,6.9205952905e-15,2.5089253905e-10,-3.7388738509e-15
POCP,kg ethene eqv./m²a,0.0011287043556,0.00013740702745,0.0044999867752,5.9448979008e-05,7.3865259095e-05,0.0058994123963,-7.6462018132e-06
AP,kg SO2 eqv./m²a,0.0078881083292,0.001751776861,0.0337496749,0.0006494983512,0.00096359350469,0.045002652,-0.00018533469768
EP,kg PO4 eqv./m²a,0.0021267227707,0.00084891053803,0.0054095155352,0.00011444669267,0.00012409578237,0.0086236913189,-3.0962850882e-05
Total PE,MJ/m²a,57.9844836217,14.2104428153,1185.7234901,1.8942755166,2.5396437665,1262.3523359,-2.5732643763
PENRT,MJ/m²a,45.9205764921,10.9209252878,1182.006682,1.699921462,2.251048,1242.7991532,-2.0416173211
PENRM,MJ/m²a,3.3959621456,0.0,0.0,-3.3914123038,0.0,0.0045498417722,0.0
PENRE,MJ/m²a,42.5246143465,10.9209252878,1182.006682,5.0913337658,2.251048,1242.7946034,-2.0416173211
PERT,MJ/m²a,12.0639071296,3.2895175275,3.7168081549,0.1943540546,0.2885957665,19.5531826331,-0.5316470552
PERM,MJ/m²a,1.3372727392,0.0,0.0,-1.3035702076,0.0,0.0337025316,0.0
PERE,MJ/m²a,10.7266343903,3.2895175275,3.7168081549,1.4979242622,0.2885957665,19.5194801014,-0.5316470552
ADP elem.,kg Sb eqv./m²a,0.00089376907922,1.6455424264e-06,4.2535817158e-06,5.6176806113e-08,2.3617230754e-08,0.0008997479974,-7.7544437903e-08
ADP fossil,MJ/m²a,42.3289649586,10.4676486192,1181.1381975,1.6533041928,2.1842581451,1237.7723734,-1.8775562245
