Indicator,Unit,A1-A3,B4,B6,C3,C4,total,D
GWP,kg CO2-eqv./m²a,4.9653445226,0.8036906755,19.8233576314,0.3511298277,0.1715731046,26.1150957617,-0.2640777357
ODP,kg R11 eqv./m²a,4.9935442856e-11,4.2585073479e-11,1.0075996052e-14,1.0176362243e-13,2.6854233018e-14,9.2659210187e-11,-9.9696608055e-13
POCP,kg ethene eqv./m²a,0.0026412071166,0.00084373721706,0.0010733081688,5.9866530431e-05,2.9562186238e-05,0.0046476812192,6.3597189551e-06
AP,kg SO2 eqv./m²a,0.0101578287,0.002519543493,0.0065471714103,0.0006342691188,0.00038015240015,0.0202389651,-0.00041853344205
EP,kg PO4 eqv./m²a,0.0016610107172,0.00079217017163,0.00075577613591,0.00011290421354,5.4560620509e-05,0.0033764218587,-7.1002518274e-05
Total PE,MJ/m²a,83.068009907,18.6304623305,332.8384168522,1.8906756163,0.9961646432,437.4237293491,-4.8234158107
PENRT,MJ/m²a,68.3937009773,15.3528347052,330.605812287,1.6956873201,0.8854537538,416.9334890434,-3.943078017
PENRM,MJ/m²a,5.345512717,0.0214172543,0.0,-4.0017887742,-1.317822361,0.0473188361,0.0
PENRE,MJ/m²a,63.0481882603,15.331417451,330.605812287,5.6974760943,2.2032761148,416.8861702074,-3.943078017
PERT,MJ/m²a,14.6743089297,3.2776276252,2.2326045652,0.1949882962,0.1107108893,20.4902403057,-0.8803377936
PERM,MJ/m²a,1.1245143448,0.0,0.0,-1.0912971034,0.0,0.0332172414,0.0
PERE,MJ/m²a,13.5497945849,3.2776276252,2.2326045652,1.2862853996,0.1107108893,20.4570230643,-0.8803377936
ADP elem.,kg Sb eqv./m²a,7.5483224443e-06,4.2733555947e-06,1.2461530628e-06,5.8620100623e-08,1.4928050025e-08,1.3141379253e-05,-1.280263112e-07
ADP fossil,MJ/m²a,64.0396532894,14.7348936637,329.9981119007,1.638058006,0.8561261612,411.266843021,-3.5928127847
