area,GWP,unit
total district (66 buildings x 3129.0 m²),11958866.39,kg CO2-eqv./a
one building,57.90825993,kg CO2-eqv./m²a
module B6 district scale,11320047.04,kg CO2-eqv./a
module B6 per building,54.81491346,kg CO2-eqv./m²a
construction (CG 300 of DIN 276) district scale,638819.35,kg CO2-eqv./a
construction (CG 300 of DIN 276) per building,3.09334647,kg CO2-eqv./m²a
systems (CG 400 of DIN 276) district scale,,kg CO2-eqv./a
systems (CG 400 of DIN 276) per building,,kg CO2-eqv./m²a
