Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1,0.7628778089,7.4821676525e-14,0.00012918290176,0.0011471920011,0.00019642146173,10.6632337676,9.1928843489,0.0,9.1928843489,1.4703494187,0.0,1.4703494187,3.1091210333e-07,8.724604698
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  Voranstrich (Kunstharz),0.0373075798,6.3098254748e-15,2.1851941644e-05,0.00010820187743,1.9591126852e-05,0.8835473453,0.7385905697,0.0,0.7385905697,0.1449567756,0.0,0.1449567756,2.1208811453e-07,0.7079584734
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  Zementestrich,0.2133031456,6.3185066337e-14,2.2082301833e-05,0.00028271094807,4.4821711443e-05,1.8889977952,1.5683544061,0.0,1.5683544061,0.3206433891,0.0,0.3206433891,2.1746090891e-08,1.4516272518
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0089527326543,3.2279997285e-17,1.1264009827e-06,6.6459050851e-06,8.188268335e-07,0.1354729312,0.129307006,0.0,0.129307006,0.0061659252082,0.0,0.0061659252082,2.0741841271e-09,0.1263321593
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  Bitumenbahnen V 60,0.0331054196,3.0635954317e-16,1.3275149829e-05,0.00010372204711,2.4375021738e-05,2.6711533791,2.6074444611,0.0,2.6074444611,0.0637089181,0.0,0.0637089181,9.5550796888e-09,2.5773546712
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  XPS-Dämmstoff,0.1166323154,5.3030455952e-16,2.463262718e-05,7.621355791e-05,1.0247733273e-05,1.6519948252,1.5527940809,0.0,1.5527940809,0.0992007443,0.0,0.0992007443,8.2822786147e-09,1.5169788192
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  Bewehrungsstahl,0.1093553828,3.3369951255e-15,4.2567517712e-05,0.0002052313955,2.7904830937e-05,2.0143585558,1.408097466,0.0,1.408097466,0.6062610898,0.0,0.6062610898,3.6839911271e-08,1.2206035907
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 1 -> Baustoff  Transportbeton C20/25,0.2442212331,1.1208454884e-15,3.6469625837e-06,0.00036446626998,6.8662210649e-05,1.4177089358,1.1882963591,0.0,1.1882963591,0.2294125767,0.0,0.2294125767,2.0326444199e-08,1.1237497326
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,0.4702089313,4.9881451733e-15,7.0847107476e-05,0.00064591122339,0.00010681477486,5.0840623168,4.1491879061,0.0,4.1491879061,0.9348744107,0.0,0.9348744107,6.5448634085e-08,3.8613321424
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  XPS-Dämmstoff,0.1166323154,5.3030455952e-16,2.463262718e-05,7.621355791e-05,1.0247733273e-05,1.6519948252,1.5527940809,0.0,1.5527940809,0.0992007443,0.0,0.0992007443,8.2822786147e-09,1.5169788192
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  Transportbeton C20/25,0.2442212331,1.1208454884e-15,3.6469625837e-06,0.00036446626998,6.8662210649e-05,1.4177089358,1.1882963591,0.0,1.1882963591,0.2294125767,0.0,0.2294125767,2.0326444199e-08,1.1237497326
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  Bewehrungsstahl,0.1093553828,3.3369951255e-15,4.2567517712e-05,0.0002052313955,2.7904830937e-05,2.0143585558,1.408097466,0.0,1.408097466,0.6062610898,0.0,0.6062610898,3.6839911271e-08,1.2206035907
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm,0.2926688777,6.9833531352e-14,5.8335794288e-05,0.00050128077769,8.9606686866e-05,5.5791714508,5.0436964428,0.0,5.0436964428,0.535475008,0.0,0.535475008,2.4546346924e-07,4.8632725556
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  Voranstrich (Kunstharz),0.0373075798,6.3098254748e-15,2.1851941644e-05,0.00010820187743,1.9591126852e-05,0.8835473453,0.7385905697,0.0,0.7385905697,0.1449567756,0.0,0.1449567756,2.1208811453e-07,0.7079584734
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  Zementestrich,0.2133031456,6.3185066337e-14,2.2082301833e-05,0.00028271094807,4.4821711443e-05,1.8889977952,1.5683544061,0.0,1.5683544061,0.3206433891,0.0,0.3206433891,2.1746090891e-08,1.4516272518
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0089527326543,3.2279997285e-17,1.1264009827e-06,6.6459050851e-06,8.188268335e-07,0.1354729312,0.129307006,0.0,0.129307006,0.0061659252082,0.0,0.0061659252082,2.0741841271e-09,0.1263321593
Cost Group 325 BodenbelägeGründung : G_Voranstrich_Kunstharz_5mm -> Baustoff  Bitumenbahnen V 60,0.0331054196,3.0635954317e-16,1.3275149829e-05,0.00010372204711,2.4375021738e-05,2.6711533791,2.6074444611,0.0,2.6074444611,0.0637089181,0.0,0.0637089181,9.5550796888e-09,2.5773546712
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 5,1.3167703662,1.5966610959e-10,0.0015750767804,0.0030491033659,0.00081475690365,23.9428272347,21.591689191,0.0260254199,21.5656637711,2.3511380438,0.0,2.3511380438,2.4625743802e-06,20.7844953471
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 5 -> Baustoff  Innenfarbe Dispersionsfarbe scheuerfest,0.0823298194,1.2355825874e-15,3.4111975768e-05,0.00028962000868,2.4276330061e-05,2.0476170254,1.8190471036,0.0,1.8190471036,0.2285699218,0.0,0.2285699218,3.6017502989e-07,1.7409214218
