Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
"Cost Group 329 Gründung, sonstigesGründung : G_XPS_260mm -> Baustoff  XPS-Dämmstoff",0.1055810177,4.8005644839e-16,2.2298604276e-05,6.8992071202e-05,9.2767266488e-06,1.4954628511,1.4056617055,0.0,1.4056617055,0.0898011456,0.0,0.0898011456,7.4975053202e-09,1.3732400582
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 7,1.8543904953,2.7168743756e-11,0.0021538065406,0.0036431799976,0.00046065166798,33.7274005924,30.0411401632,0.0428345085,29.9983056547,3.6862604291,0.0,3.6862604291,2.3349237224e-06,28.8915242066
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 7 -> Baustoff  Innenfarbe Dispersionsfarbe scheuerfest,0.0903362267,1.3557404797e-15,3.7429295996e-05,0.00031778496517,2.6637153759e-05,2.2467436143,1.9959457328,0.0,1.9959457328,0.2507978816,0.0,0.2507978816,3.9520131862e-07,1.9102224875
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 7 -> Baustoff  Gipsputz (Gips),0.0486063261,5.8727433272e-16,6.9105688678e-06,7.2661546865e-05,1.12189556e-05,0.8551370074,0.7241386902,0.0,0.7241386902,0.1309983172,0.0,0.1309983172,7.3914158952e-09,0.6904482366
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 7 -> Baustoff  Mauerziegel,0.6347286253,7.3235681006e-12,7.3316305778e-05,0.0010336961596,0.00011809762955,7.8555436943,6.5555605761,0.0,6.5555605761,1.2999831181,0.0,1.2999831181,4.6842778827e-08,6.1783821085
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 7 -> Baustoff  Kunstharzputz,0.2244030737,1.9077950113e-14,0.00029390723472,0.00067543706783,9.4254283719e-05,5.7610534758,5.1089012115,0.0,5.1089012115,0.6521522643,0.0,0.6521522643,6.1706252923e-07,4.9114449833
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 7 -> Baustoff  Dämmplatte mit Neopor® Plus,0.4282134216,1.9794607584e-11,0.0012871506479,0.0004033729177,4.6126094713e-05,6.4627442464,6.2595875457,0.0428345085,6.2167530372,0.2031567007,0.0,0.2031567007,3.2973793986e-07,6.1622443697
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 7 -> Baustoff  Kunstharzestrich,0.0914982112,9.3018153052e-16,1.4231635259e-05,0.00012707173871,2.2936125062e-05,1.9045983405,1.7336545896,0.0,1.7336545896,0.1709437509,0.0,0.1709437509,1.309394608e-08,1.6716145461
Cost Group 330 AußenwändeBauwerk - Baukonstruktionen : Außenwand 7 -> Baustoff  Kunstharzputz,0.3366046106,2.8616925169e-14,0.00044086085208,0.0010131556017,0.00014138142558,8.6415802137,7.6633518172,0.0,7.6633518172,0.9782283964,0.0,0.9782283964,9.2559379385e-07,7.367167475
Cost Group 331 Tragende AußenwändeAußenwände : Mauerziegel_270mm_E,0.6347286253,7.3235681006e-12,7.3316305778e-05,0.0010336961596,0.00011809762955,7.8555436943,6.5555605761,0.0,6.5555605761,1.2999831181,0.0,1.2999831181,4.6842778827e-08,6.1783821085
Cost Group 331 Tragende AußenwändeAußenwände : Mauerziegel_270mm_E -> Baustoff  Mauerziegel,0.6347286253,7.3235681006e-12,7.3316305778e-05,0.0010336961596,0.00011809762955,7.8555436943,6.5555605761,0.0,6.5555605761,1.2999831181,0.0,1.2999831181,4.6842778827e-08,6.1783821085
Cost Group 334 Außentüren und -fensterAußenwände : Fenster 2,0.5123759733,6.5236448136e-11,0.00016717007822,0.0023389269697,0.00022186318129,8.4010975676,7.5928710622,0.0,7.5928710622,0.8082265054,0.0,0.8082265054,7.1936857941e-06,7.140863841
"Cost Group 334 Außentüren und -fensterAußenwände : Fenster 2 -> Baustoff  Elastomer Fugenbänder, Polyurethan",0.1391806833,1.6579152551e-15,2.5607543468e-05,0.00019509484793,3.5743113654e-05,2.2360151072,1.9265925374,0.0,1.9265925374,0.3094225698,0.0,0.3094225698,6.4267852748e-08,1.8128896819
Cost Group 334 Außentüren und -fensterAußenwände : Fenster 2 -> Baustoff Blendrahmen PVC-U,0.1995419361,3.7105416876e-12,3.9877575033e-05,0.00028211151662,3.7227122065e-05,2.6635507506,2.3704308389,0.0,2.3704308389,0.2931199116,0.0,0.2931199116,2.6319278906e-06,2.2285770037
Cost Group 334 Außentüren und -fensterAußenwände : Fenster 2 -> Baustoff Glas - Bundesverband Flachglas e.V. - Mehrscheibenisolierglas 2-fach Aufbau,0.1736533539,6.1524248533e-11,0.00010168495972,0.0018617206051,0.00014889294557,3.5015317098,3.2958476859,0.0,3.2958476859,0.2056840239,0.0,0.2056840239,4.4974900507e-06,3.0993971553
Cost Group 334 Außentüren und -fensterAußenwände : Fenster 2 -> Baustoff Flügelrahmen PVC-U,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe)",1.0807193171,1.984323264e-11,0.00203615037,0.002219037326,0.00030469792907,22.7699762764,20.7654951641,0.0428345085,20.7226606556,2.0044811123,0.0,2.0044811123,1.885488209e-06,20.112471374
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe) -> Baustoff  Kunstharzputz",0.2244030737,1.9077950113e-14,0.00029390723472,0.00067543706783,9.4254283719e-05,5.7610534758,5.1089012115,0.0,5.1089012115,0.6521522643,0.0,0.6521522643,6.1706252923e-07,4.9114449833
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe) -> Baustoff  Dämmplatte mit Neopor® Plus",0.4282134216,1.9794607584e-11,0.0012871506479,0.0004033729177,4.6126094713e-05,6.4627442464,6.2595875457,0.0428345085,6.2167530372,0.2031567007,0.0,0.2031567007,3.2973793986e-07,6.1622443697
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe) -> Baustoff  Kunstharzestrich",0.0914982112,9.3018153052e-16,1.4231635259e-05,0.00012707173871,2.2936125062e-05,1.9045983405,1.7336545896,0.0,1.7336545896,0.1709437509,0.0,0.1709437509,1.309394608e-08,1.6716145461
"Cost Group 335 Außenwandbekleidungen, außenAußenwände : WDVS (Roe) -> Baustoff  Kunstharzputz",0.3366046106,2.8616925169e-14,0.00044086085208,0.0010131556017,0.00014138142558,8.6415802137,7.6633518172,0.0,7.6633518172,0.9782283964,0.0,0.9782283964,9.2559379385e-07,7.367167475
"Cost Group 336 Außenwandbekleidungen, innenAußenwände : Gips-Putz/Anstrich",0.1389425529,1.9430148124e-15,4.4339864863e-05,0.00039044651204,3.7856109359e-05,3.1018806217,2.720084423,0.0,2.720084423,0.3817961987,0.0,0.3817961987,4.0259273452e-07,2.6006707241
"Cost Group 336 Außenwandbekleidungen, innenAußenwände : Gips-Putz/Anstrich -> Baustoff  Innenfarbe Dispersionsfarbe scheuerfest",0.0903362267,1.3557404797e-15,3.7429295996e-05,0.00031778496517,2.6637153759e-05,2.2467436143,1.9959457328,0.0,1.9959457328,0.2507978816,0.0,0.2507978816,3.9520131862e-07,1.9102224875
"Cost Group 336 Außenwandbekleidungen, innenAußenwände : Gips-Putz/Anstrich -> Baustoff  Gipsputz (Gips)",0.0486063261,5.8727433272e-16,6.9105688678e-06,7.2661546865e-05,1.12189556e-05,0.8551370074,0.7241386902,0.0,0.7241386902,0.1309983172,0.0,0.1309983172,7.3914158952e-09,0.6904482366
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5,2.2688264707,2.0426847557e-13,0.00092651172234,0.0054472241944,0.0015760031361,40.3612989805,30.105931492,0.0031888551724,30.1027426368,10.2553674885,0.0236211494,10.2317463391,1.8832704128e-06,27.7462453698
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  Kunstharzputz,0.3623323516,3.0804206074e-14,0.00047455722294,0.0010905942465,0.00015218764919,9.3020831599,8.2490857141,0.0,8.2490857141,1.0529974458,0.0,1.0529974458,9.9633981631e-07,7.9302630781
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  Transportbeton C20/25,0.7315206627,3.3572905354e-15,1.0923818753e-05,0.0010916929866,0.00020566526996,4.2464914581,3.5593274552,0.0,3.5593274552,0.6871640029,0.0,0.6871640029,6.0884198078e-08,3.3659896752
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  Bewehrungsstahl,0.8447453744,2.5777525755e-14,0.00032882435931,0.0015853656911,0.00021555845038,15.5604601143,10.8772315604,0.0,10.8772315604,4.6832285539,0.0,4.6832285539,2.8457990674e-07,9.4288841641
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  Mineralwolle (Boden-Dämmung),0.0541446798,9.464339539e-16,1.2211640639e-05,0.00023169992921,3.5449215738e-05,0.8286289128,0.7163024392,0.0,0.7163024392,0.1123264735,0.0,0.1123264735,1.1412740156e-08,0.6859468571
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  PE/PP Vlies,0.0491293891,2.450695905e-16,4.5231845355e-06,2.5768302118e-05,3.8143600088e-06,0.7405054826,0.6969872415,0.0,0.6969872415,0.0435182412,0.0,0.0435182412,4.0953355386e-09,0.6808874744
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  Estrichmörtel-Zementestrich,0.2109368644,4.2506258391e-14,3.864420046e-05,0.00036612781609,5.385622069e-05,1.6577322667,1.4550628046,0.0031888551724,1.4518739494,0.2026694621,0.0236211494,0.1790483126,2.3664848552e-07,1.3735698391
Cost Group 350 DeckenBauwerk - Baukonstruktionen : Zwischendecke 5 -> Baustoff  Linoleum,0.0160171488,1.0063169127e-13,5.6827295715e-05,0.0010559752229,0.00090947197012,8.0253975861,4.551934277,0.0,4.551934277,3.4734633091,0.0,3.4734633091,2.8930993044e-07,4.2807042818
Cost Group 351 DeckenkonstruktionenDecken : IBO_GDm_01,1.9385983887,5.9939022364e-14,0.000814305401,0.0037676529241,0.00057341136953,29.1090347323,22.6856447297,0.0,22.6856447297,6.4233900027,0.0,6.4233900027,1.3418039211e-06,20.7251369175
Cost Group 351 DeckenkonstruktionenDecken : IBO_GDm_01 -> Baustoff  Kunstharzputz,0.3623323516,3.0804206074e-14,0.00047455722294,0.0010905942465,0.00015218764919,9.3020831599,8.2490857141,0.0,8.2490857141,1.0529974458,0.0,1.0529974458,9.9633981631e-07,7.9302630781
Cost Group 351 DeckenkonstruktionenDecken : IBO_GDm_01 -> Baustoff  Transportbeton C20/25,0.7315206627,3.3572905354e-15,1.0923818753e-05,0.0010916929866,0.00020566526996,4.2464914581,3.5593274552,0.0,3.5593274552,0.6871640029,0.0,0.6871640029,6.0884198078e-08,3.3659896752
Cost Group 351 DeckenkonstruktionenDecken : IBO_GDm_01 -> Baustoff  Bewehrungsstahl,0.8447453744,2.5777525755e-14,0.00032882435931,0.0015853656911,0.00021555845038,15.5604601143,10.8772315604,0.0,10.8772315604,4.6832285539,0.0,4.6832285539,2.8457990674e-07,9.4288841641
Cost Group 352 DeckenbelägeDecken : IBO_KDo_01,0.330228082,1.443294532e-13,0.00011220632135,0.0016795712703,0.0010025917666,11.2522642482,7.4202867623,0.0031888551724,7.4170979071,3.8319774858,0.0236211494,3.8083563364,5.4146649165e-07,7.0211084524
Cost Group 352 DeckenbelägeDecken : IBO_KDo_01 -> Baustoff  Mineralwolle (Boden-Dämmung),0.0541446798,9.464339539e-16,1.2211640639e-05,0.00023169992921,3.5449215738e-05,0.8286289128,0.7163024392,0.0,0.7163024392,0.1123264735,0.0,0.1123264735,1.1412740156e-08,0.6859468571
Cost Group 352 DeckenbelägeDecken : IBO_KDo_01 -> Baustoff  PE/PP Vlies,0.0491293891,2.450695905e-16,4.5231845355e-06,2.5768302118e-05,3.8143600088e-06,0.7405054826,0.6969872415,0.0,0.6969872415,0.0435182412,0.0,0.0435182412,4.0953355386e-09,0.6808874744
Cost Group 352 DeckenbelägeDecken : IBO_KDo_01 -> Baustoff  Estrichmörtel-Zementestrich,0.2109368644,4.2506258391e-14,3.864420046e-05,0.00036612781609,5.385622069e-05,1.6577322667,1.4550628046,0.0031888551724,1.4518739494,0.2026694621,0.0236211494,0.1790483126,2.3664848552e-07,1.3735698391
Cost Group 352 DeckenbelägeDecken : IBO_KDo_01 -> Baustoff  Linoleum,0.0160171488,1.0063169127e-13,5.6827295715e-05,0.0010559752229,0.00090947197012,8.0253975861,4.551934277,0.0,4.551934277,3.4734633091,0.0,3.4734633091,2.8930993044e-07,4.2807042818
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 12,0.9398528516,1.1714214766e-14,0.00020432879965,0.0011757508334,0.00018010916855,13.3488621603,11.1798855225,0.0,11.1798855225,2.1689766377,0.0,2.1689766377,1.492045055e-07,10.4950461593
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 12 -> Baustoff  Kalk-Gips-Innenputz,0.0105680818,6.7861343395e-17,1.0367098094e-07,1.3301039732e-05,2.6405152601e-06,0.115679464,0.0990069993,0.0,0.0990069993,0.0166724646,0.0,0.0166724646,1.0300094964e-09,0.0948364213
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 12 -> Baustoff  Bewehrungsstahl,0.2851015639,8.6999149422e-15,0.00011097822127,0.00053506092073,7.2750977003e-05,5.2516552886,3.6710656516,0.0,3.6710656516,1.5805896369,0.0,1.5805896369,9.6045718524e-08,3.1822484054
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 12 -> Baustoff  Transportbeton C20/25,0.2035745002,9.3429861611e-16,3.0399837715e-06,0.00030380666666,5.7234479734e-05,1.1817538729,0.9905233642,0.0,0.9905233642,0.1912305087,0.0,0.1912305087,1.6943431439e-08,0.9367194951
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 12 -> Baustoff  XPS-Dämmstoff,0.3800916637,1.7282032142e-15,8.0274975394e-05,0.00024837145633,3.3396215936e-05,5.3836662639,5.0603821397,0.0,5.0603821397,0.3232841242,0.0,0.3232841242,2.6991019153e-08,4.9436642097
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 12 -> Baustoff  Bitumenbahnen PYE PV 200 S5 (ungeschiefert),0.0141940578,1.2326017064e-16,4.203051129e-06,2.3442287938e-05,5.5992837975e-06,0.6771214694,0.6528846616,0.0,0.6528846616,0.0242368078,0.0,0.0242368078,2.7957181703e-09,0.6419618921
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 12 -> Baustoff  PE-HD mit PP-Vlies zur Abdichtung,0.0241474849,1.0039382083e-16,2.5303746009e-06,1.3257204048e-05,1.8344183295e-06,0.3610512367,0.3431251097,0.0,0.3431251097,0.017926127,0.0,0.017926127,1.8582202377e-09,0.3364990288
Cost Group 360 DächerBauwerk - Baukonstruktionen : Dach 12 -> Baustoff  Kies 2/32 getrocknet,0.0221754994,6.0282658461e-17,3.1985225041e-06,3.8511257988e-05,6.6532784934e-06,0.3779345648,0.3628975964,0.0,0.3628975964,0.0150369684,0.0,0.0150369684,3.5403884805e-09,0.3591167069
Cost Group 361 DachkonstruktionenDächer : IBO_DAm_07,0.4992441459,9.7020749017e-15,0.00011412187602,0.00085216862713,0.000132625972,6.5490886254,4.7605960152,0.0,4.7605960152,1.7884926103,0.0,1.7884926103,1.1401915946e-07,4.2138043218
Cost Group 361 DachkonstruktionenDächer : IBO_DAm_07 -> Baustoff  Kalk-Gips-Innenputz,0.0105680818,6.7861343395e-17,1.0367098094e-07,1.3301039732e-05,2.6405152601e-06,0.115679464,0.0990069993,0.0,0.0990069993,0.0166724646,0.0,0.0166724646,1.0300094964e-09,0.0948364213
Cost Group 361 DachkonstruktionenDächer : IBO_DAm_07 -> Baustoff  Bewehrungsstahl,0.2851015639,8.6999149422e-15,0.00011097822127,0.00053506092073,7.2750977003e-05,5.2516552886,3.6710656516,0.0,3.6710656516,1.5805896369,0.0,1.5805896369,9.6045718524e-08,3.1822484054
Cost Group 361 DachkonstruktionenDächer : IBO_DAm_07 -> Baustoff  Transportbeton C20/25,0.2035745002,9.3429861611e-16,3.0399837715e-06,0.00030380666666,5.7234479734e-05,1.1817538729,0.9905233642,0.0,0.9905233642,0.1912305087,0.0,0.1912305087,1.6943431439e-08,0.9367194951
Cost Group 363 DachbelägeDächer : IBO_DAm_07,0.4406087057,2.0121398641e-15,9.0206923628e-05,0.0003235822063,4.7483196556e-05,6.7997735348,6.4192895074,0.0,6.4192895074,0.3804840274,0.0,0.3804840274,3.5185346041e-08,6.2812418374
Cost Group 363 DachbelägeDächer : IBO_DAm_07 -> Baustoff  XPS-Dämmstoff,0.3800916637,1.7282032142e-15,8.0274975394e-05,0.00024837145633,3.3396215936e-05,5.3836662639,5.0603821397,0.0,5.0603821397,0.3232841242,0.0,0.3232841242,2.6991019153e-08,4.9436642097
Cost Group 363 DachbelägeDächer : IBO_DAm_07 -> Baustoff  Bitumenbahnen PYE PV 200 S5 (ungeschiefert),0.0141940578,1.2326017064e-16,4.203051129e-06,2.3442287938e-05,5.5992837975e-06,0.6771214694,0.6528846616,0.0,0.6528846616,0.0242368078,0.0,0.0242368078,2.7957181703e-09,0.6419618921
Cost Group 363 DachbelägeDächer : IBO_DAm_07 -> Baustoff  PE-HD mit PP-Vlies zur Abdichtung,0.0241474849,1.0039382083e-16,2.5303746009e-06,1.3257204048e-05,1.8344183295e-06,0.3610512367,0.3431251097,0.0,0.3431251097,0.017926127,0.0,0.017926127,1.8582202377e-09,0.3364990288
Cost Group 363 DachbelägeDächer : IBO_DAm_07 -> Baustoff  Kies 2/32 getrocknet,0.0221754994,6.0282658461e-17,3.1985225041e-06,3.8511257988e-05,6.6532784934e-06,0.3779345648,0.3628975964,0.0,0.3628975964,0.0150369684,0.0,0.0150369684,3.5403884805e-09,0.3591167069
