Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 6,0.6036312128,6.792212194e-14,9.8314202385e-05,0.00098698912391,0.00017123078717,8.4199575972,7.1561527915,0.0,7.1561527915,1.2638048057,0.0,1.2638048057,2.7738337367e-07,6.757028074
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 6 -> Baustoff  Voranstrich (Kunstharz),0.0340786676,5.7637200406e-15,1.996069059e-05,9.8837175749e-05,1.789554575e-05,0.8070777173,0.6746667218,0.0,0.6746667218,0.1324109955,0.0,0.1324109955,1.9373222302e-07,0.6466857851
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 6 -> Baustoff  Zementestrich,0.1948420951,5.7716498589e-14,2.0171113468e-05,0.0002582427618,4.0942463073e-05,1.725508018,1.4326158081,0.0,1.4326158081,0.2928922099,0.0,0.2928922099,1.9864001053e-08,1.3259912047
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 6 -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0081778877759,2.9486214477e-17,1.0289127558e-06,6.0707124912e-06,7.4795866366e-07,0.1237479629,0.1181156887,0.0,0.1181156887,0.0056322741149,0.0,0.0056322741149,1.8946667652e-09,0.1153983103
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 6 -> Baustoff  Bitumenbahnen V 60,0.0302401978,2.7984460832e-16,1.2126206567e-05,9.4745067664e-05,2.2265402085e-05,2.4399692708,2.381774259,0.0,2.381774259,0.0581950118,0.0,0.0581950118,8.7281026253e-09,2.354288693
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 6 -> Baustoff  XPS-Dämmstoff,0.0133172466,6.0550942129e-17,2.8125890228e-06,8.7021743479e-06,1.170101017e-06,0.1886271601,0.1773002756,0.0,0.1773002756,0.0113268846,0.0,0.0113268846,9.4568255937e-10,0.1732108371
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 6 -> Baustoff  Bewehrungsstahl,0.0998908471,3.0481834651e-15,3.8883366251e-05,0.0001874689422,2.548971187e-05,1.8400190027,1.2862288532,0.0,1.2862288532,0.5537901495,0.0,0.5537901495,3.3651475106e-08,1.1149622767
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 6 -> Baustoff  Transportbeton C20/25,0.2230842709,1.0238380807e-15,3.3313237292e-06,0.00033292228966,6.2719604707e-05,1.2950084654,1.0854511851,0.0,1.0854511851,0.2095572803,0.0,0.2095572803,1.8567222541e-08,1.0264909672
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,0.3362923645,4.132572488e-15,4.5027279003e-05,0.0005290934062,8.9379417594e-05,3.3236546282,2.5489803138,0.0,2.5489803138,0.7746743144,0.0,0.7746743144,5.3164380206e-08,2.314664081
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  XPS-Dämmstoff,0.0133172466,6.0550942129e-17,2.8125890228e-06,8.7021743479e-06,1.170101017e-06,0.1886271601,0.1773002756,0.0,0.1773002756,0.0113268846,0.0,0.0113268846,9.4568255937e-10,0.1732108371
