Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 3,1.0684050746,1.2282217764e-13,0.00017284769493,0.0017705946345,0.0003077916337,14.8978267709,12.6309758352,0.0,12.6309758352,2.2668509358,0.0,2.2668509358,5.0032262301e-07,11.9160042762
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 3 -> Baustoff  Voranstrich (Kunstharz),0.0616787396,1.0431716158e-14,3.6126712798e-05,0.00017888470571,3.2389021749e-05,1.4607242554,1.2210745306,0.0,1.2210745306,0.2396497248,0.0,0.2396497248,3.5063458096e-07,1.170432031
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 3 -> Baustoff  Zementestrich,0.3526433306,1.044606828e-13,3.6507555677e-05,0.00046739174907,7.4101474494e-05,3.1229847641,2.5928812239,0.0,2.5928812239,0.5301035402,0.0,0.5301035402,3.5951715087e-08,2.3999021079
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 3 -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0148011013,5.3366891145e-17,1.8622219233e-06,1.0987339624e-05,1.3537250981e-06,0.2239705632,0.2137767501,0.0,0.2137767501,0.0101938131,0.0,0.0101938131,3.4291439849e-09,0.2088585861
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 3 -> Baustoff  Bitumenbahnen V 60,0.0547315203,5.0648877839e-16,2.1947135546e-05,0.00017147842821,4.0297993839e-05,4.4160831352,4.3107563947,0.0,4.3107563947,0.1053267404,0.0,0.1053267404,1.5796931243e-08,4.261010463
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 3 -> Baustoff  Bewehrungsstahl,0.180791738,5.516885706e-15,7.0374729713e-05,0.00033929871327,4.6133649328e-05,3.3302373859,2.327936509,0.0,2.327936509,1.0023008769,0.0,1.0023008769,6.0905566913e-08,2.017962343
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 3 -> Baustoff  Transportbeton C20/25,0.4037586449,1.8530373048e-15,6.0293392684e-06,0.00060255369863,0.0001135157692,2.3438266672,1.9645504269,0.0,1.9645504269,0.3792762403,0.0,0.3792762403,3.3604684825e-08,1.8578387452
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,0.5845503829,7.3699230108e-15,7.6404068981e-05,0.0009418524119,0.00015964941852,5.674064053,4.2924869359,0.0,4.2924869359,1.3815771172,0.0,1.3815771172,9.4510251738e-08,3.8758010882
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  Transportbeton C20/25,0.4037586449,1.8530373048e-15,6.0293392684e-06,0.00060255369863,0.0001135157692,2.3438266672,1.9645504269,0.0,1.9645504269,0.3792762403,0.0,0.3792762403,3.3604684825e-08,1.8578387452
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  Bewehrungsstahl,0.180791738,5.516885706e-15,7.0374729713e-05,0.00033929871327,4.6133649328e-05,3.3302373859,2.327936509,0.0,2.327936509,1.0023008769,0.0,1.0023008769,6.0905566913e-08,2.017962343
