Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 9,0.6922678926,7.0469504909e-14,0.00011607440476,0.0010644038959,0.00018290734415,9.6711432624,8.3072610062,0.0,8.3072610062,1.3638822562,0.0,1.3638822562,2.9139338753e-07,7.8738849975
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 9 -> Baustoff  Voranstrich (Kunstharz),0.0351998707,5.9533489489e-15,2.0617406034e-05,0.00010208896203,1.8484317026e-05,0.8336309269,0.6968635518,0.0,0.6968635518,0.1367673752,0.0,0.1367673752,2.0010609783e-07,0.66796203
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 9 -> Baustoff  Zementestrich,0.2012524852,5.9615396616e-14,2.0834751917e-05,0.00026673906152,4.2289488001e-05,1.7822779858,1.4797494942,0.0,1.4797494942,0.3025284916,0.0,0.3025284916,2.0517535369e-08,1.3696168948
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 9 -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0084469438576,3.045632382e-17,1.0627644351e-06,6.2704415852e-06,7.7256683057e-07,0.1278193249,0.1220017465,0.0,0.1220017465,0.0058175783948,0.0,0.0058175783948,1.9570021298e-09,0.1191949651
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 9 -> Baustoff  Bitumenbahnen V 60,0.0312351135,2.8905161824e-16,1.2525164063e-05,9.7862221796e-05,2.2997943544e-05,2.5202453262,2.4601356731,0.0,2.4601356731,0.0601096531,0.0,0.0601096531,9.0152610161e-09,2.4317458199
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 9 -> Baustoff  XPS-Dämmstoff,0.0825323388,3.7525856752e-16,1.7430746585e-05,5.3930878122e-05,7.2515871106e-06,1.1689984567,1.0988011926,0.0,1.0988011926,0.0701972641,0.0,0.0701972641,5.8607755732e-09,1.0734572962
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 9 -> Baustoff  Bewehrungsstahl,0.1031772996,3.1484700333e-15,4.0162645994e-05,0.00019363675232,2.632833453e-05,1.900556432,1.3285463445,0.0,1.3285463445,0.5720100874,0.0,0.5720100874,3.4758623344e-08,1.1516450229
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 9 -> Baustoff  Transportbeton C20/25,0.2304238409,1.057522801e-15,3.4409257358e-06,0.00034387557849,6.4783107112e-05,1.3376148099,1.1211630034,0.0,1.1211630034,0.2164518064,0.0,0.2164518064,1.9178092277e-08,1.0602629686
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,0.4161334793,4.5812514018e-15,6.1034318315e-05,0.00059144320893,9.8363028753e-05,4.4071696985,3.5485105406,0.0,3.5485105406,0.8586591579,0.0,0.8586591579,5.9797491194e-08,3.2853652877
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  XPS-Dämmstoff,0.0825323388,3.7525856752e-16,1.7430746585e-05,5.3930878122e-05,7.2515871106e-06,1.1689984567,1.0988011926,0.0,1.0988011926,0.0701972641,0.0,0.0701972641,5.8607755732e-09,1.0734572962
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  Transportbeton C20/25,0.2304238409,1.057522801e-15,3.4409257358e-06,0.00034387557849,6.4783107112e-05,1.3376148099,1.1211630034,0.0,1.1211630034,0.2164518064,0.0,0.2164518064,1.9178092277e-08,1.0602629686
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  Bewehrungsstahl,0.1031772996,3.1484700333e-15,4.0162645994e-05,0.00019363675232,2.632833453e-05,1.900556432,1.3285463445,0.0,1.3285463445,0.5720100874,0.0,0.5720100874,3.4758623344e-08,1.1516450229
