area,GWP,unit
total district (16 buildings x 778.0 m²),695321.04,kg CO2-eqv./a
one building,55.85805239,kg CO2-eqv./m²a
module B6 district scale,636397.82,kg CO2-eqv./a
module B6 per building,51.12450384,kg CO2-eqv./m²a
construction (CG 300 of DIN 276) district scale,58923.21,kg CO2-eqv./a
construction (CG 300 of DIN 276) per building,4.73354855,kg CO2-eqv./m²a
systems (CG 400 of DIN 276) district scale,,kg CO2-eqv./a
systems (CG 400 of DIN 276) per building,,kg CO2-eqv./m²a
