Indicator,Unit,A1-A3,B4,B6,C3,C4,total,D
GWP,kg CO2-eqv./m²a,0.7777383781,0.6765187524,78.9445899711,2.4773627701,0.0739103977,82.9501202694,-1.2506202735
ODP,kg R11 eqv./m²a,1.2877144142e-11,2.768548628e-12,1.2710044809e-14,9.1387101048e-14,1.0853322382e-13,1.585832314e-11,5.2166605205e-10
POCP,kg ethene eqv./m²a,0.0010687252335,0.00015210169828,0.0050382588628,2.1958336365e-05,3.5470130994e-05,0.0063165142619,-0.00013277115217
AP,kg SO2 eqv./m²a,0.0072377320974,0.0017256885645,0.0377761317,0.00021566249057,0.0004436606479,0.0473988755,-0.0014777141043
EP,kg PO4 eqv./m²a,0.0012090656012,0.00023965662394,0.0060538197936,4.28621411e-05,6.3372793251e-05,0.0076087769532,-0.00022949436656
Total PE,MJ/m²a,94.3462978759,11.8316349706,1327.6674075,-24.4585498606,1.1701126172,1410.5569031,1.0531873535
PENRT,MJ/m²a,41.1244192551,10.8150072838,1323.7035864,0.5787505648,1.0417632189,1377.2635267,-17.0000265872
PENRM,MJ/m²a,2.4859206894,0.0040016103896,0.0,-2.4252041786,0.0,0.0647181212,0.0
PENRE,MJ/m²a,38.6384985658,10.8110056734,1323.7035864,3.0039547433,1.0417632189,1377.1988086,-17.0000265872
PERT,MJ/m²a,53.2218786208,1.0166276869,3.963821121,-25.0373004254,0.1283493984,33.2933764016,18.0532139408
PERM,MJ/m²a,25.3373910554,0.0296415584,0.0,-25.2565711445,0.0,0.1104614693,0.0
PERE,MJ/m²a,27.8844875654,0.9869861284,3.963821121,0.2192707192,0.1283493984,33.1829149323,18.0532139408
ADP elem.,kg Sb eqv./m²a,0.00052470556279,0.00052337217366,4.754101912e-06,2.9417552062e-08,1.6638351855e-08,0.0010528778943,-6.9208210527e-07
ADP fossil,MJ/m²a,38.4512754253,10.4280462246,1322.7917001,0.6513223126,1.0082445407,1373.3305886,-14.4158903201
