area,GWP,unit
total district (38 buildings x 632.0 m²),455584.7,kg CO2-eqv./a
one building,18.97004912,kg CO2-eqv./m²a
module B6 district scale,267315.4,kg CO2-eqv./a
module B6 per building,11.13072132,kg CO2-eqv./m²a
construction (CG 300 of DIN 276) district scale,188269.3,kg CO2-eqv./a
construction (CG 300 of DIN 276) per building,7.8393278,kg CO2-eqv./m²a
systems (CG 400 of DIN 276) district scale,,kg CO2-eqv./a
systems (CG 400 of DIN 276) per building,,kg CO2-eqv./m²a
