Life Cycle Impact Assessment,GWP,ODP,POCP,AP,EP,Total PE,PENRT,PENRM,PENRE,PERT,PERM,PERE,ADP elem.,ADP fossil
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2,0.7501209251,6.8588182304e-14,0.00012925268164,0.0010827130417,0.00018410189835,10.4948563584,9.1064558225,0.0,9.1064558225,1.3884005358,0.0,1.3884005358,2.8778588183e-07,8.6623472825
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  Voranstrich (Kunstharz),0.0340786676,5.7637200406e-15,1.996069059e-05,9.8837175749e-05,1.789554575e-05,0.8070777173,0.6746667218,0.0,0.6746667218,0.1324109955,0.0,0.1324109955,1.9373222302e-07,0.6466857851
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  Zementestrich,0.1948420951,5.7716498589e-14,2.0171113468e-05,0.0002582427618,4.0942463073e-05,1.725508018,1.4326158081,0.0,1.4326158081,0.2928922099,0.0,0.2928922099,1.9864001053e-08,1.3259912047
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  PE-Noppenfolie zur Abdichtung,0.0081778877759,2.9486214477e-17,1.0289127558e-06,6.0707124912e-06,7.4795866366e-07,0.1237479629,0.1181156887,0.0,0.1181156887,0.0056322741149,0.0,0.0056322741149,1.8946667652e-09,0.1153983103
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  Bitumenbahnen V 60,0.0302401978,2.7984460832e-16,1.2126206567e-05,9.4745067664e-05,2.2265402085e-05,2.4399692708,2.381774259,0.0,2.381774259,0.0581950118,0.0,0.0581950118,8.7281026253e-09,2.354288693
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  XPS-Dämmstoff,0.1598069589,7.2661130554e-16,3.3751068274e-05,0.00010442609217,1.4041212203e-05,2.2635259213,2.1276033066,0.0,2.1276033066,0.1359226147,0.0,0.1359226147,1.1348190712e-08,2.0785300456
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  Bewehrungsstahl,0.0998908471,3.0481834651e-15,3.8883366251e-05,0.0001874689422,2.548971187e-05,1.8400190027,1.2862288532,0.0,1.2862288532,0.5537901495,0.0,0.5537901495,3.3651475106e-08,1.1149622767
Cost Group 320 GründungBauwerk - Baukonstruktionen : Boden 2 -> Baustoff  Transportbeton C20/25,0.2230842709,1.0238380807e-15,3.3313237292e-06,0.00033292228966,6.2719604707e-05,1.2950084654,1.0854511851,0.0,1.0854511851,0.2095572803,0.0,0.2095572803,1.8567222541e-08,1.0264909672
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2%,0.4827820768,4.7986328514e-15,7.5965758254e-05,0.00062481732403,0.00010225052878,5.3985533894,4.4992833449,0.0,4.4992833449,0.8992700445,0.0,0.8992700445,6.3566888359e-08,4.2199832895
Cost Group 324 Unterböden und BodenplattenGründung : G_Bodenplatte_Stahlbeton-Ortbauweise_C25/30_250mm_2% -> Baustoff  XPS-Dämmstoff,0.1598069589,7.2661130554e-16,3.3751068274e-05,0.00010442609217,1.4041212203e-05,2.2635259213,2.1276033066,0.0,2.1276033066,0.1359226147,0.0,0.1359226147,1.1348190712e-08,2.0785300456
